Date,Category,Description,Amount,Type
2024-09-01,Food,Grocery,50.75,Expense
2024-09-02,Rent,Monthly Rent,1200.0,Expense
2024-09-02,Utilities,Electricity Bill,60.0,Expense
2024-09-03,Food,Dinner,30.0,Expense
2024-09-04,Transport,Bus Ticket,2.75,Expense
2024-10-05,Food,Breakfast,15.0,Expense
2024-10-06,Income,Salary,2000.0,Income
2024-10-10,Income,Freelance Work,500.0,Income
2024-10-12,Utilities,Water Bill,40.0,Expense
2024-11-15,Food,Lunch,25.0,Expense
2024-11-18,Transport,Taxi,25.0,Expense
2024-11-20,Income,Investment Return,200.0,Income
2024-11-25,Food,Groceries,80.0,Expense
2024-12-28,Rent,Monthly Rent,1200.0,Expense
